observation_name	ERR7901770 (Cav_A-1)	ERR7901771 (Cav_A-2)	ERR7901772 (Cav_B-1)	ERR7901773 (Cav_B-2)	ERR7901774 (Cav_C-1)	ERR7901775 (Cav_C-2)	ERR7901776 (Cav_D-1)	ERR7901777 (Cav_D-2)	ERR7901778 (Cav_E-1)	ERR7901779 (Cav_E-2)
Cluster_163	0	0	0	0	0	0	0	189	0	0
Cluster_164	154	0	0	0	0	0	0	0	0	0
Cluster_165	187	0	0	0	0	0	0	0	0	0
Cluster_166	145	0	0	0	0	0	0	0	0	0
Cluster_167	0	0	0	0	0	0	0	213	0	0
Cluster_168	176	0	0	0	0	0	0	0	0	0
Cluster_169	145	0	0	0	0	0	0	0	0	0
Cluster_170	0	0	0	0	85	64	0	0	10	0
Cluster_171	0	0	0	0	0	0	0	0	0	128
Cluster_172	134	0	0	0	0	0	0	0	0	0
Cluster_173	197	0	0	10	0	0	0	0	0	0
Cluster_174	0	1	0	1	4	7	0	0	19	108
Cluster_175	0	0	0	0	72	74	0	0	0	0
Cluster_177	0	0	0	0	12	14	0	0	76	48
Cluster_179	0	0	0	1	0	0	0	0	0	137
Cluster_180	143	0	0	0	0	0	0	0	0	0
Cluster_181	0	0	0	0	0	0	145	0	0	0
Cluster_182	137	0	0	0	0	0	0	0	0	0
Cluster_184	0	62	0	0	0	0	0	0	185	0
Cluster_185	0	0	0	14	0	1	0	0	0	136
Cluster_186	0	0	0	0	0	0	0	147	0	0
Cluster_188	0	0	1	155	0	0	0	0	0	0
Cluster_189	26	0	0	0	43	64	0	0	0	0
Cluster_190	0	0	0	0	0	0	0	0	0	101
Cluster_192	0	140	0	0	0	0	0	0	0	0
Cluster_193	0	0	189	0	0	0	0	0	0	0
Cluster_195	0	1	0	0	0	0	0	130	0	0
Cluster_196	0	0	0	0	0	0	0	151	0	0
Cluster_197	264	0	0	0	0	0	0	0	0	0
Cluster_198	0	0	0	21	0	0	0	0	0	102
Cluster_201	0	0	0	0	0	0	0	0	100	51
Cluster_203	0	0	0	0	0	1	0	130	0	0
Cluster_204	14	0	0	0	6	6	0	0	102	43
Cluster_205	135	0	0	0	0	0	0	0	0	0
Cluster_206	113	0	0	0	0	0	0	0	0	0
Cluster_207	0	0	4	9	0	89	0	0	2	7
Cluster_208	0	0	0	0	0	0	0	0	92	43
Cluster_209	174	0	0	1	3	0	0	0	23	69
Cluster_210	0	0	97	0	0	0	0	0	0	0
Cluster_212	0	0	0	1	0	0	0	0	39	54
Cluster_213	160	0	0	0	0	0	0	0	0	0
Cluster_214	4	1	0	0	147	126	1	0	9	0
Cluster_215	0	0	0	80	0	0	0	0	0	0
Cluster_216	0	0	0	0	3	3	26	2	12	35
Cluster_217	36	0	0	2	0	96	0	0	1	0
Cluster_218	0	0	0	0	12	25	21	43	0	0
Cluster_219	6	78	0	0	22	15	0	0	0	0
Cluster_220	114	0	0	0	0	0	0	0	0	0
Cluster_221	0	0	0	0	35	48	0	0	0	0
Cluster_222	112	0	0	0	0	0	0	0	0	0
Cluster_223	5	54	0	0	0	0	0	0	127	0
Cluster_224	15	25	2	51	0	32	16	30	2	22
Cluster_225	0	0	0	72	0	0	0	0	0	25
Cluster_226	0	0	0	0	49	65	0	0	0	0
Cluster_227	0	0	0	0	0	0	0	94	0	0
Cluster_228	10	4	0	0	0	0	0	125	0	0
Cluster_229	0	73	0	0	0	0	0	0	0	0
Cluster_230	87	0	0	0	0	0	0	0	0	0
Cluster_231	0	0	0	84	0	6	0	0	0	0
Cluster_232	0	0	0	0	0	0	0	0	0	76
Cluster_233	0	0	0	103	0	0	0	0	0	0
Cluster_234	118	0	0	0	0	2	0	0	0	0
Cluster_235	84	0	0	0	0	0	0	0	0	0
Cluster_236	84	0	0	0	0	0	0	0	0	0
Cluster_237	0	39	0	0	0	0	0	0	0	35
Cluster_238	0	0	0	0	3	3	52	3	18	24
Cluster_239	185	0	0	0	0	0	0	0	0	0
Cluster_240	81	0	0	0	0	0	0	0	0	0
Cluster_241	0	46	0	22	0	9	0	0	0	4
Cluster_242	0	0	0	71	0	0	0	0	0	0
Cluster_244	15	59	0	0	1	0	0	0	4	2
Cluster_246	0	0	0	48	0	0	0	0	3	6
Cluster_247	1	0	0	69	0	0	0	0	0	0
Cluster_248	0	0	0	0	0	0	0	0	0	80
Cluster_249	84	0	0	0	0	0	0	0	0	0
Cluster_250	24	66	0	0	0	0	0	0	0	0
Cluster_251	0	60	0	0	0	0	0	0	0	0
Cluster_252	0	80	0	0	0	1	0	0	0	0
Cluster_253	0	0	0	0	0	0	0	144	0	0
Cluster_254	0	0	0	0	0	0	0	0	0	63
Cluster_255	0	67	0	3	2	0	0	0	0	0
Cluster_257	63	0	0	0	0	0	0	0	0	0
Cluster_258	72	0	0	0	0	0	0	0	0	0
Cluster_259	0	0	0	0	0	0	87	0	19	0
Cluster_260	0	0	0	0	0	0	0	0	101	0
Cluster_261	0	0	0	0	0	0	0	0	25	57
Cluster_262	79	0	0	2	0	0	0	0	0	0
Cluster_265	65	0	0	0	0	0	0	0	0	0
Cluster_268	0	0	0	0	0	0	0	0	100	0
Cluster_269	0	18	0	0	0	0	0	0	0	58
Cluster_270	0	0	0	79	0	0	0	0	0	0
Cluster_271	0	1	0	0	0	0	0	119	0	0
Cluster_272	0	0	0	0	35	22	0	0	36	22
Cluster_277	0	0	0	0	0	0	0	0	0	57
Cluster_278	0	60	0	0	0	0	0	0	0	0
Cluster_279	0	0	0	29	0	0	0	0	36	0
Cluster_280	0	0	0	0	0	4	61	2	21	39
Cluster_281	67	0	0	0	0	0	0	0	0	0
Cluster_282	13	50	0	0	0	1	0	0	2	0
Cluster_283	76	0	0	0	0	0	0	0	8	0
Cluster_284	0	87	0	0	0	0	0	0	0	0
Cluster_285	0	0	0	0	0	1	0	0	47	0
Cluster_288	0	0	0	0	0	0	0	0	75	0
Cluster_289	72	0	0	0	0	0	0	0	0	0
Cluster_290	0	0	0	97	0	0	0	0	0	0
Cluster_292	0	0	0	51	0	0	0	0	0	0
Cluster_293	0	0	0	0	1	0	0	0	75	10
Cluster_294	0	0	0	1	0	0	0	0	0	48
Cluster_295	0	63	0	0	0	0	0	0	0	0
Cluster_296	0	0	68	0	0	0	0	0	0	0
Cluster_297	0	0	0	0	0	0	0	0	66	0
Cluster_298	0	0	0	0	0	0	0	0	0	50
Cluster_299	85	0	0	0	0	0	0	0	0	0
Cluster_300	1	2	1	3	0	0	2	1	2	30
Cluster_301	0	62	0	0	0	1	0	0	0	0
Cluster_302	0	0	0	52	0	1	0	1	0	6
Cluster_303	0	0	0	46	0	0	0	0	0	0
Cluster_305	58	0	0	0	0	0	0	0	0	0
Cluster_307	57	0	0	0	0	0	0	0	0	0
Cluster_308	114	0	0	0	0	0	0	0	0	0
Cluster_309	32	0	0	1	0	0	0	0	0	14
Cluster_310	0	0	0	78	0	0	0	0	0	0
Cluster_311	0	0	0	44	0	0	0	0	0	0
Cluster_314	0	0	0	40	0	0	0	0	0	0
Cluster_317	0	0	1	0	1	0	0	0	0	54
Cluster_319	13	12	0	0	0	0	0	0	18	37
Cluster_320	73	0	0	0	0	0	0	0	0	0
Cluster_322	49	15	0	0	0	0	0	0	25	0
Cluster_323	43	0	0	0	0	0	0	0	0	0
Cluster_324	0	52	0	0	0	0	0	0	0	0
Cluster_325	0	66	0	0	0	0	0	0	0	0
Cluster_327	0	0	0	4	0	1	0	0	0	32
Cluster_329	0	0	0	19	0	0	0	0	46	0
Cluster_330	1	0	0	0	16	44	29	0	1	4
Cluster_331	16	0	0	0	0	0	0	0	37	0
Cluster_332	65	0	0	0	0	0	0	0	0	0
Cluster_335	0	0	0	47	0	0	0	0	0	0
Cluster_336	0	0	0	0	13	59	27	2	1	4
Cluster_338	0	0	0	0	0	0	0	49	6	0
Cluster_339	0	0	0	0	0	0	0	0	52	0
Cluster_340	0	0	0	0	0	0	0	0	0	41
Cluster_341	59	0	0	0	0	0	0	0	0	0
Cluster_342	11	37	0	0	0	0	0	0	3	5
Cluster_343	1	0	0	2	1	46	0	0	0	0
Cluster_345	8	11	15	10	3	5	2	6	4	7
Cluster_346	0	45	0	0	0	0	0	0	0	0
Cluster_347	0	40	0	0	0	0	0	0	0	0
Cluster_348	0	0	0	42	0	0	0	0	0	0
Cluster_350	0	8	0	0	0	23	0	0	0	16
Cluster_351	0	0	0	0	0	0	0	55	0	0
Cluster_352	22	0	0	0	0	1	0	0	0	54
Cluster_354	64	0	0	0	0	0	0	0	0	0
Cluster_355	66	0	0	0	0	0	0	0	0	0
Cluster_356	7	0	0	26	0	0	0	22	0	0
Cluster_358	0	0	0	44	0	0	0	0	0	0
Cluster_359	0	0	0	0	0	1	0	1	64	0
Cluster_360	0	37	0	0	0	0	0	0	0	0
Cluster_361	0	0	0	37	0	0	0	0	0	0
Cluster_362	0	0	0	0	0	2	0	0	4	57
Cluster_363	0	0	0	9	0	0	0	0	13	37
Cluster_364	0	0	0	0	0	0	0	0	50	0
Cluster_365	0	0	0	0	0	0	0	0	53	0
Cluster_368	55	0	0	0	0	0	0	0	0	0
Cluster_369	12	26	0	0	0	0	0	0	2	0
Cluster_370	56	0	0	0	0	0	0	0	0	0
Cluster_371	36	0	0	0	0	0	0	0	0	0
Cluster_372	0	38	0	0	0	0	0	0	0	0
Cluster_375	7	8	16	7	3	3	5	6	9	2
Cluster_376	44	0	0	0	0	0	0	0	0	0
Cluster_377	67	0	0	0	0	0	0	0	0	0
Cluster_378	12	0	1	7	8	8	0	0	1	4
Cluster_379	5	0	0	0	0	2	0	0	30	0
Cluster_380	13	0	0	0	0	4	0	0	38	0
Cluster_381	0	39	0	0	0	0	0	0	0	0
Cluster_382	0	0	0	21	0	16	0	0	0	0
Cluster_384	0	0	0	38	0	0	0	0	0	0
Cluster_385	8	0	0	0	0	0	0	0	0	42
Cluster_386	0	0	0	0	0	0	0	0	0	47
Cluster_387	0	0	0	0	0	0	0	0	0	41
Cluster_388	0	0	0	0	0	0	0	0	0	35
Cluster_389	0	0	0	0	0	0	0	0	0	39
Cluster_390	46	0	0	0	0	0	0	0	0	0
Cluster_391	38	0	0	0	0	0	0	0	0	0
Cluster_392	0	36	0	0	0	0	0	0	0	0
Cluster_395	0	0	0	52	0	0	0	0	0	0
Cluster_396	0	0	0	0	0	0	0	0	79	0
Cluster_397	0	0	0	0	0	0	0	0	58	0
Cluster_398	8	0	0	0	0	3	0	0	39	18
Cluster_400	0	0	0	0	0	0	0	0	0	41
Cluster_401	0	0	0	0	0	0	0	0	0	36
Cluster_402	39	0	0	0	0	0	0	0	0	0
Cluster_404	38	0	0	0	0	0	0	0	0	0
